Original_Exercise,Predicted_Exercise,Accuracy
bicep_curl,bicep_curl,0.307
bicep_curl,bicep_curl,0.468
bicep_curl,bicep_curl,0.191
bicep_curl,bicep_curl,0.354
bicep_curl,bicep_curl,0.337
bicep_curl,bicep_curl,0.159
bicep_curl,bicep_curl,0.377
bicep_curl,bicep_curl,0.264
bicep_curl,bicep_curl,0.251
bicep_curl,bicep_curl,0.412
bicep_curl,bicep_curl,0.23
bicep_curl,bicep_curl,0.317
lateral_raise,tricep_extension,0.077
lateral_raise,lateral_raise,0.016
lateral_raise,bicep_curl,0.02
lateral_raise,tricep_extension,0.14
lateral_raise,,0
lateral_raise,bicep_curl,0.025
lateral_raise,tricep_extension,0.036
lateral_raise,,0
lateral_raise,tricep_extension,0.135
lateral_raise,tricep_extension,0.011
lateral_raise,,0
lateral_raise,,0
push_ups,tricep_extension,0.084
push_ups,tricep_extension,0.173
push_ups,tricep_extension,0.058
push_ups,push_ups,0.113
push_ups,bicep_curl,0.01
push_ups,push_ups,0.098
push_ups,tricep_extension,0.115
push_ups,push_ups,0.046
push_ups,,0
push_ups,push_ups,0.171
push_ups,,0
push_ups,push_ups,0.169
lateral_raise,lateral_raise,0.046
lateral_raise,lateral_raise,0.108
lateral_raise,lateral_raise,0.094
lateral_raise,tricep_extension,0.285
lateral_raise,lateral_raise,0.083
lateral_raise,lateral_raise,0.271
lateral_raise,lateral_raise,0.072
lateral_raise,tricep_extension,0.086
lateral_raise,bicep_curl,0.12
lateral_raise,lateral_raise,0.192
lateral_raise,lateral_raise,0.067
lateral_raise,lateral_raise,0.046
lateral_raise,lateral_raise,0.108
lateral_raise,lateral_raise,0.094
lateral_raise,tricep_extension,0.285
lateral_raise,lateral_raise,0.083
lateral_raise,lateral_raise,0.271
lateral_raise,lateral_raise,0.072
lateral_raise,tricep_extension,0.086
lateral_raise,bicep_curl,0.12
lateral_raise,lateral_raise,0.192
lateral_raise,lateral_raise,0.067
lateral_raise,lateral_raise,0.007
bicep_curl,bicep_curl,0.357
bicep_curl,bicep_curl,0.368
bicep_curl,bicep_curl,0.396
bicep_curl,bicep_curl,0.369
bicep_curl,bicep_curl,0.288
bicep_curl,bicep_curl,0.263
bicep_curl,bicep_curl,0.285
bicep_curl,bicep_curl,0.349
bicep_curl,bicep_curl,0.36
bicep_curl,bicep_curl,0.25
bicep_curl,bicep_curl,0.442
bicep_curl,bicep_curl,0.374
bicep_curl,bicep_curl,0.125
bicep_curl,,0
bicep_curl,lateral_raise,0.035
bicep_curl,,0
bicep_curl,,0
bicep_curl,lateral_raise,0.021
bicep_curl,,0
bicep_curl,,0
bicep_curl,,0
bicep_curl,bicep_curl,0.016
bicep_curl,tricep_extension,0.067
bicep_curl,lateral_raise,0.088
bicep_curl,push_ups,0.293
bicep_curl,lateral_raise,0.285
bicep_curl,bicep_curl,0.234
bicep_curl,tricep_extension,0.239
bicep_curl,tricep_extension,0.163
bicep_curl,bicep_curl,0.266
bicep_curl,,0
bicep_curl,,0
bicep_curl,,0
bicep_curl,,0
bicep_curl,,0
bicep_curl,lateral_raise,0.126
bicep_curl,bicep_curl,0.026
bicep_curl,,0
bicep_curl,,0
bicep_curl,,0
bicep_curl,,0
bicep_curl,,0
bicep_curl,lateral_raise,0.047
bicep_curl,bicep_curl,0.016
bicep_curl,bicep_curl,0.122
bicep_curl,bicep_curl,0.129
bicep_curl,,0
bicep_curl,,0
bicep_curl,,0
bicep_curl,,0
bicep_curl,bicep_curl,0.169
bicep_curl,bicep_curl,0.209
bicep_curl,bicep_curl,0.236
bicep_curl,bicep_curl,0.284
bicep_curl,bicep_curl,0.198
bicep_curl,bicep_curl,0.249
bicep_curl,bicep_curl,0.065
bicep_curl,bicep_curl,0.21
bicep_curl,bicep_curl,0.115
bicep_curl,bicep_curl,0.212
bicep_curl,bicep_curl,0.311
bicep_curl,bicep_curl,0.289
bicep_curl,bicep_curl,0.271
bicep_curl,bicep_curl,0.249
bicep_curl,tricep_extension,0.201
bicep_curl,tricep_extension,0.3
bicep_curl,bicep_curl,0.288
bicep_curl,push_ups,0.17
bicep_curl,bicep_curl,0.257
bicep_curl,bicep_curl,0.32
bicep_curl,bicep_curl,0.181
bicep_curl,bicep_curl,0.433
bicep_curl,bicep_curl,0.22
bicep_curl,push_ups,0.322
bicep_curl,tricep_extension,0.106
bicep_curl,tricep_extension,0.29
bicep_curl,push_ups,0.088
bicep_curl,,0
bicep_curl,bicep_curl,0.161
bicep_curl,bicep_curl,0.108
bicep_curl,tricep_extension,0.218
bicep_curl,bicep_curl,0.08
bicep_curl,bicep_curl,0.179
bicep_curl,tricep_extension,0.255
bicep_curl,bicep_curl,0.208
bicep_curl,tricep_extension,0.312
bicep_curl,bicep_curl,0.282
bicep_curl,push_ups,0.203
bicep_curl,tricep_extension,0.222
bicep_curl,tricep_extension,0.268
bicep_curl,bicep_curl,0.096
bicep_curl,bicep_curl,0.148
bicep_curl,bicep_curl,0.116
bicep_curl,tricep_extension,0.306
bicep_curl,bicep_curl,0.26
bicep_curl,tricep_extension,0.306
bicep_curl,bicep_curl,0.134
bicep_curl,,0
bicep_curl,,0
bicep_curl,tricep_extension,0.132
bicep_curl,,0
bicep_curl,,0
bicep_curl,tricep_extension,0.182
bicep_curl,tricep_extension,0.089
bicep_curl,tricep_extension,0.106
bicep_curl,tricep_extension,0.106
bicep_curl,bicep_curl,0.08
bicep_curl,tricep_extension,0.226
bicep_curl,tricep_extension,0.251
bicep_curl,tricep_extension,0.215
bicep_curl,tricep_extension,0.327
bicep_curl,bicep_curl,0.212
bicep_curl,bicep_curl,0.22
bicep_curl,bicep_curl,0.018
bicep_curl,bicep_curl,0.087
bicep_curl,bicep_curl,0.244
bicep_curl,tricep_extension,0.204
bicep_curl,tricep_extension,0.234
bicep_curl,tricep_extension,0.311
bicep_curl,push_ups,0.25
bicep_curl,bicep_curl,0.26
bicep_curl,bicep_curl,0.292
bicep_curl,bicep_curl,0.189
bicep_curl,push_ups,0.097
bicep_curl,tricep_extension,0.237
bicep_curl,push_ups,0.146
bicep_curl,push_ups,0.272
bicep_curl,push_ups,0.246
bicep_curl,bicep_curl,0.268
bicep_curl,bicep_curl,0.117
bicep_curl,bicep_curl,0.224
bicep_curl,bicep_curl,0.183
bicep_curl,bicep_curl,0.202
bicep_curl,tricep_extension,0.223
bicep_curl,bicep_curl,0.23
bicep_curl,tricep_extension,0.267
bicep_curl,bicep_curl,0.281
bicep_curl,bicep_curl,0.196
bicep_curl,bicep_curl,0.179
bicep_curl,push_ups,0.108
bicep_curl,bicep_curl,0.199
bicep_curl,bicep_curl,0.227
bicep_curl,bicep_curl,0.286
bicep_curl,tricep_extension,0.184
bicep_curl,tricep_extension,0.206
bicep_curl,bicep_curl,0.098
bicep_curl,,0
bicep_curl,bicep_curl,0.086
bicep_curl,bicep_curl,0.193
bicep_curl,tricep_extension,0.117
bicep_curl,bicep_curl,0.28
bicep_curl,tricep_extension,0.322
bicep_curl,bicep_curl,0.326
bicep_curl,bicep_curl,0.227
bicep_curl,bicep_curl,0.087
bicep_curl,bicep_curl,0.291
bicep_curl,bicep_curl,0.341
bicep_curl,bicep_curl,0.131
bicep_curl,tricep_extension,0.234
bicep_curl,bicep_curl,0.007
bicep_curl,bicep_curl,0.07
bicep_curl,tricep_extension,0.138
bicep_curl,tricep_extension,0.306
bicep_curl,,0
bicep_curl,,0
bicep_curl,,0
bicep_curl,,0
bicep_curl,,0
bicep_curl,lateral_raise,0.001
bicep_curl,lateral_raise,0.03
bicep_curl,bicep_curl,0.034
bicep_curl,tricep_extension,0.071
bicep_curl,tricep_extension,0.112
bicep_curl,tricep_extension,0.111
bicep_curl,,0
bicep_curl,,0
